Processed,Organism
0proteusmirabilis105cfuml,Proteus mirabilis
105cfuml,
3typeofbacteriagrownonculturepredominatlygpcpleaserepeat,Mixed growth
"3typesgnb
",Mixed growth
"3typesofbacteriagrown
",Mixed growth
"3typesofbacteriagrownonculturepredominantlygnbpleaserepeat
",Mixed growth
"3typesofbacteriagrownonculturepredominantlygnbpleaserepeatthesample
",Mixed growth
"3typesofbacteriagrownonculturepredominantlygpcpleaserepeat
",Mixed growth
"3typesofbacteriagrownpredomlnantlygnb
",Mixed growth
3typesofbacteriagrownpredomlnantlygpc,Mixed growth
"3typesofgnb
",Mixed growth
3typespredominantlygnb,Mixed growth
acenitobactersps105cfuml,Acinetobacter sp.
"acienetobacterspp
",Acinetobacter sp.
acinetbacterspecies,Acinetobacter sp.
acinetobacter,Acinetobacter sp.
"acinetobacteraeruginosa
",Acinetobacter aeruginosa
acinetobacterbaeumanuiicomplex105cfuml,Acinetobacter baumannii
"acinetobacterbauamiicomplex
",Acinetobacter baumannii
acinetobacterbaumani,Acinetobacter baumannii
"acinetobacterbaumanicomplex
",Acinetobacter baumannii
acinetobacterbaumanii,Acinetobacter baumannii
"acinetobacterbaumaniicc102cfuml
",Acinetobacter baumannii
acinetobacterbaumaniicc103cfuml,Acinetobacter baumannii
"acinetobacterbaumaniicc105cfuml
",Acinetobacter baumannii
acinetobacterbaumaniicomplex,Acinetobacter baumannii
"acinetobacterbaumaniicoplex
",Acinetobacter baumannii
acinetobacterbaumaniiinsignificantcount,Acinetobacter baumannii
"acinetobacterbaumaniispecies
",Acinetobacter baumannii
acinetobacterbaumanip,Acinetobacter baumannii
"acinetobacterbaumanni
",Acinetobacter baumannii
acinetobacterbaumanni105cfuml,Acinetobacter baumannii
"acinetobacterbaumannicc105cfuml
",Acinetobacter baumannii
acinetobacterbaumannicomplex,Acinetobacter baumannii
"acinetobacterbaumannii
",Acinetobacter baumannii
acinetobacterbaumannii103cfuml,Acinetobacter baumannii
"acinetobacterbaumannii105cfuml
",Acinetobacter baumannii
acinetobacterbaumanniicc102cfuml,Acinetobacter baumannii
"acinetobacterbaumanniicc103cfuml
",Acinetobacter baumannii
acinetobacterbaumanniicc104cfuml,Acinetobacter baumannii
"acinetobacterbaumanniicc105cfuml
",Acinetobacter baumannii
acinetobacterbaumanniicc10cfuml,Acinetobacter baumannii
"acinetobacterbaumanniicomplex
",Acinetobacter baumannii
"acinetobacterbaumanniicomplex105cfuml
",Acinetobacter baumannii
"acinetobacterbaumanniicomplexcc105cfuml
",Acinetobacter baumannii
"acinetobacterbaumanniiinsignificantcount
",Acinetobacter baumannii
acinetobacterbaumniicc105cfuml,Acinetobacter baumannii
"acinetobacterbaumniipp
",Acinetobacter baumannii
acinetobacterbaumonii,Acinetobacter baumannii
